rollcall_id,roll_num,date,bill_id,question,result,description,year,congress,session
2019:489,489,17-Jul,H.RES.497,On Agreeing to the Resolution,P,"Recommending that the House of Representatives find William P. Barr, Attorney General of the United States, and Wilbur L. Ross, Jr., Secretary of Commerce, In Contempt of Congress for Refusal to Comply with Subpoenas Duly Issued by the Committee on Oversight and Reform",2019,116,1
2019:490,490,17-Jul,H.R.3494,On Agreeing to the Amendment,F,Chabot of Ohio Part B Amendment No. 7,2019,116,1
2019:491,491,17-Jul,H.R.3494,On Agreeing to the Amendment,A,Kennedy of Massachusetts Part B Amendment No. 11,2019,116,1
2019:492,492,17-Jul,H.R.3494,On Passage,P,"To authorize appropriations for fiscal year 2020 for intelligence and intelligence-related activities of the United States Government, the Community Management Account, and the Central Intelligence Agency Retirement and Disability System, and for other purposes",2019,116,1
2019:493,493,17-Jul,H.R.748,"On Motion to Suspend the Rules and Pass, as Amended",P,Middle Class Health Benefits Tax Repeal Act,2019,116,1
2019:494,494,18-Jul,H.R.582,On Agreeing to the Amendment,A,OHalleran of Arizona Part B Amendment No. 1,2019,116,1
2019:495,495,18-Jul,H.R.582,On Motion to Recommit with Instructions,F,Raise the Wage Act,2019,116,1
2019:496,496,18-Jul,H.R.582,On Passage,P,Raise the Wage Act,2019,116,1
2019:497,497,23-Jul,H.RES.246,"On Motion to Suspend the Rules and Agree, as Amended",P,"Opposing efforts to delegitimize the State of Israel and the Global Boycott, Divestment, and Sanctions Movement targeting Israel",2019,116,1
2019:498,498,23-Jul,H.R.549,"On Motion to Suspend the Rules and Pass, as Amended",F,Venezuela TPS Act,2019,116,1
2019:499,499,23-Jul,H.R.3304,"On Motion to Suspend the Rules and Pass, as Amended",P,"To exempt for an additional 4-year period, from the application of the means-test presumption of abuse under chapter 7, qualifying members of reserve components of the Armed Forces and members of the National Guard who, after September 11, 2001, are called to active duty or to perform a homeland defense activity",2019,116,1
2019:500,500,24-Jul,H.RES.509,On Ordering the Previous Question,P,"Providing for consideration of the bill (H.R. 397) Rehabilitation for Multiemployer Pensions Act of 2019; providing for consideration of the bill (H.R. 3239) Humanitarian Standards for Individuals in Customs and Border Protection Custody Act; and providing for proceedings from July 29, 2019 through September 6, 2019",2019,116,1
2019:501,501,24-Jul,H.RES.509,On Agreeing to the Resolution,P,"Providing for consideration of the bill (H.R. 397) Rehabilitation for Multiemployer Pensions Act of 2019; providing for consideration of the bill (H.R. 3239) Humanitarian Standards for Individuals in Customs and Border Protection Custody Act; and providing for proceedings from July 29, 2019 through September 6, 2019",2019,116,1
2019:502,502,24-Jul,H.R.3375,"On Motion to Suspend the Rules and Pass, as Amended",P,Stopping Bad Robocalls Act,2019,116,1
2019:503,503,24-Jul,H.R.397,On Agreeing to the Amendment,F,Roe of Tennessee Part A Amendment No. 1,2019,116,1
2019:504,504,24-Jul,H.R.397,On Motion to Recommit with Instructions,F,Rehabilitation for Multiemployer Pensions Act,2019,116,1
2019:505,505,24-Jul,H.R.397,On Passage,P,Rehabilitation for Multiemployer Pensions Act,2019,116,1
2019:506,506,24-Jul,H.R.3239,On Motion to Recommit with Instructions,P,Humanitarian Standards for Individuals in Customs and Border Protection Custody Act,2019,116,1
2019:507,507,24-Jul,H.R.3239,On Passage,P,Humanitarian Standards for Individuals in Customs and Border Protection Custody Act,2019,116,1
2019:508,508,25-Jul,H.RES.519,On Ordering the Previous Question,P,Providing for consideration of the bill (H.R. 3877) the Bipartisan Budget Act of 2019; providing for consideration of the bill (H.R. 549) the Venezuela TPS Act of 2019; and waiving a requirement of clause 6(a) of Rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules,2019,116,1
2019:509,509,25-Jul,H.RES.519,On Agreeing to the Resolution,P,Providing for consideration of the bill (H.R. 3877) the Bipartisan Budget Act of 2019; providing for consideration of the bill (H.R. 549) the Venezuela TPS Act of 2019; and waiving a requirement of clause 6(a) of Rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules,2019,116,1
2019:510,510,25-Jul,H.R.693,"On Motion to Suspend the Rules and Pass, as Amended",P,PAST Act,2019,116,1
2019:511,511,25-Jul,H.R.3877,On Passage,P,Bipartisan Budget Act,2019,116,1
2019:512,512,25-Jul,H.R.3877,On Agreeing to the Massie of Kentucky Amendment to the Title,F,Bipartisan Budget Act,2019,116,1
2019:513,513,25-Jul,H.R.549,On Motion to Recommit with Instructions,F,Venezuela TPS Act,2019,116,1
2019:514,514,25-Jul,H.R.549,On Passage,P,Venezuela TPS Act,2019,116,1
2019:515,515,9-Sep,H.R.1420,"On Motion to Suspend the Rules and Pass, as Amended",P,Energy Efficient Government Technology Act,2019,116,1
2019:516,516,9-Sep,H.R.1768,On Motion to Suspend the Rules and Pass,P,Diesel Emissions Reduction Act,2019,116,1
2019:517,517,10-Sep,H.RES.548,On Ordering the Previous Question,P,Providing for consideration of the bill (H.R. 205) Protecting and Securing Floridas Coastline Act; providing for consideration of the bill (H.R. 1146) Arctic Cultural and Coastal Plain Protection Act; and providing for consideration of the bill (H.R. 1941) Coastal and Marine Economies Protection Act,2019,116,1
2019:518,518,10-Sep,H.RES.548,On Agreeing to the Resolution,P,Providing for consideration of the bill (H.R. 205) Protecting and Securing Floridas Coastline Act; providing for consideration of the bill (H.R. 1146) Arctic Cultural and Coastal Plain Protection Act; and providing for consideration of the bill (H.R. 1941) Coastal and Marine Economies Protection Act,2019,116,1
2019:519,519,10-Sep,H.R.2852,"On Motion to Suspend the Rules and Pass, as Amended",P,Homebuyer Assistance Act,2019,116,1
2019:520,520,11-Sep,H.R.205,On Agreeing to the Amendment,F,"Gosar of Arizona Part B Amendment No. 3, as Modified",2019,116,1
2019:521,521,11-Sep,H.R.205,On Passage,P,Protecting and Securing Floridas Coastline Act of 2019,2019,116,1
2019:522,522,11-Sep,H.R.1941,On Agreeing to the Amendment,F,Gosar of Arizona Part F Amendment No. 2,2019,116,1
2019:523,523,11-Sep,H.R.1941,On Agreeing to the Amendment,F,Gosar of Arizona Part F Amendment No. 7,2019,116,1
2019:524,524,11-Sep,H.R.1941,On Motion to Recommit with Instructions,F,Coastal and Marine Economies Protection Act,2019,116,1
2019:525,525,11-Sep,H.R.1941,On Passage,P,Coastal and Marine Economies Protection Act,2019,116,1
2019:526,526,12-Sep,H.R.1146,On Agreeing to the Amendment,F,Young of Alaska Part D Amendment No. 1,2019,116,1
2019:527,527,12-Sep,H.R.1146,On Agreeing to the Amendment,F,Gosar of Arizona Part D Amendment No. 2,2019,116,1
2019:528,528,12-Sep,H.R.1146,On Agreeing to the Amendment,F,"Gosar of Arizona Part D Amendment No. 3, as Modified",2019,116,1
2019:529,529,12-Sep,H.R.1146,On Motion to Recommit with Instructions,F,Arctic Cultural and Coastal Plain Protection Act,2019,116,1
2019:530,530,12-Sep,H.R.1146,On Passage,P,Arctic Cultural and Coastal Plain Protection Act,2019,116,1
2019:531,531,17-Sep,S.1790,On Motion to Instruct Conferees,F,National Defense Authorization Act for Fiscal Year 2020,2019,116,1
2019:532,532,17-Sep,S.1790,On Closing Portions of the Conference,P,National Defense Authorization Act for Fiscal Year 2020,2019,116,1
2019:533,533,18-Sep,H.RES.558,On Ordering the Previous Question,P,Providing for consideration of the bill (H.R. 1423) FAIR Act; waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules; and providing for consideration of motions to suspend the rules,2019,116,1
2019:534,534,18-Sep,H.RES.558,On Agreeing to the Resolution,P,Providing for consideration of the bill (H.R. 1423) FAIR Act; waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules; and providing for consideration of motions to suspend the rules,2019,116,1
2019:535,535,18-Sep,H.R.4285,On Motion to Suspend the Rules and Pass,P,Department of Veterans Affairs Expiring Authorities Act,2019,116,1
2019:536,536,19-Sep,H.RES.564,On Ordering the Previous Question,P,"Providing for consideration of H.R. 4378, making continuing appropriations for fiscal year 2020, and for other purposes",2019,116,1
2019:537,537,19-Sep,H.RES.564,On Agreeing to the Resolution,P,"Providing for consideration of H.R. 4378, making continuing appropriations for fiscal year 2020, and for other purposes",2019,116,1
2019:538,538,19-Sep,H.R.4378,On Passage,P,"Making continuing appropriations for fiscal year 2020, and for other purposes",2019,116,1
2019:539,539,20-Sep,H.R.1423,On Agreeing to the Amendment,F,Jordan of Ohio Part B Amendment No. 1,2019,116,1
2019:540,540,20-Sep,H.R.1423,On Passage,P,Forced Arbitration Injustice Repeal Act,2019,116,1
2019:541,541,24-Sep,H.R.3190,"On Motion to Suspend the Rules and Pass, as Amended",P,BURMA Act,2019,116,1
2019:542,542,25-Sep,H.RES.577,On Ordering the Previous Question on the Amendment and the Resolution,P,"Providing for consideration of H.R. 2203, the Homeland Security Improvement Act; H.R. 3525, the US Border Patrol Medical Screening Standards Act ; and H.Res. 576, expressing the sense of the House with respect to the whistleblower complaint of Aug 12, 2019, made to the Inspector General of the Intelligence Community",2019,116,1
2019:543,543,25-Sep,H.RES.577,On Agreeing to the Resolution,P,"Providing for consideration of H.R. 2203, the Homeland Security Improvement Act; H.R. 3525, the US Border Patrol Medical Screening Standards Act ; and H.Res. 576, expressing the sense of the House with respect to the whistleblower complaint of Aug 12, 2019, made to the Inspector General of the Intelligence Community",2019,116,1
2019:544,544,25-Sep,H.R.1595,"On Motion to Suspend the Rules and Pass, as Amended",P,SAFE Banking Act,2019,116,1
2019:545,545,25-Sep,H.R.2203,On Motion to Recommit with Instructions,F,Homeland Security Improvement Act,2019,116,1
2019:546,546,25-Sep,H.R.2203,On Passage,P,Homeland Security Improvement Act,2019,116,1
2019:547,547,25-Sep,H.RES.590,On Motion to Table,P,Raising a question of the privileges of the House,2019,116,1
2019:548,548,25-Sep,H.RES.576,On Agreeing to the Resolution,P,"Expressing the sense of the House of Representatives with respect to the whistleblower complaint of August 12, 2019, made to the Inspector General of the Intelligence Community",2019,116,1
2019:549,549,26-Sep,H.RES.591,On Ordering the Previous Question,P,"Providing for consideration of S.J. Res. 54, relating to a national emergency declared by the President on February 15, 2019",2019,116,1
2019:550,550,26-Sep,H.RES.591,On Agreeing to the Resolution,P,"Providing for consideration of S.J. Res. 54, relating to a national emergency declared by the President on February 15, 2019",2019,116,1
2019:551,551,26-Sep,H.R.3525,On Motion to Recommit with Instructions,F,U.S. Border Patrol Medical Screening Standards Act,2019,116,1
2019:552,552,26-Sep,H.R.3525,On Passage,P,U.S. Border Patrol Medical Screening Standards Act,2019,116,1
2019:553,553,27-Sep,S.J.RES.54,On Passage,P,"Relating to a national emergency declared by the President on February 15, 2019",2019,116,1
2019:554,554,27-Sep,H.R.3722,On Motion to Suspend the Rules and Pass,P,Joint Task Force to Combat Opioid Trafficking Act,2019,116,1
2019:555,555,27-Sep,H.RES.603,On Motion to Table,P,Raising a question of the privileges of the House,2019,116,1
2019:556,556,15-Oct,H.R.2385,"On Motion to Suspend the Rules and Pass, as Amended",P,To permit the Secretary of Veterans Affairs to establish a grant program to conduct cemetery research and produce educational materials for the Veterans Legacy Program,2019,116,1
2019:557,557,15-Oct,H.R.95,On Motion to Suspend the Rules and Pass,P,Homeless Veteran Families Act,2019,116,1
2019:558,558,16-Oct,H.RES.629,On Ordering the Previous Question,P,"Providing for consideration of the bill (H.R. 1815) SEC Disclosure Effectiveness Testing Act, and providing for consideration of the bill (H.R. 3624) Outsourcing Accountability Act",2019,116,1
2019:559,559,16-Oct,H.RES.629,On Agreeing to the Resolution,P,"Providing for consideration of the bill (H.R. 1815) SEC Disclosure Effectiveness Testing Act, and providing for consideration of the bill (H.R. 3624) Outsourcing Accountability Act",2019,116,1
2019:560,560,16-Oct,H.J.RES.77,On Motion to Suspend the Rules and Pass,P,Opposing the decision to end certain United States efforts to prevent Turkish military operations against Syrian Kurdish forces in Northeast Syria,2019,116,1
2019:561,561,17-Oct,H.R.1815,On Agreeing to the Amendment,F,Huizenga of Michigan Part B Amendment No. 1,2019,116,1
2019:562,562,17-Oct,H.R.1815,On Agreeing to the Amendment,A,Gottheimer of New Jersey Part B Amendment No. 2,2019,116,1
2019:563,563,17-Oct,H.R.1815,On Agreeing to the Amendment,F,Wagner of Missouri Part B Amendment No. 3,2019,116,1
2019:564,564,17-Oct,H.R.1815,On Passage,P,SEC Disclosure Effectiveness Testing Act,2019,116,1
2019:565,565,18-Oct,H.R.3624,On Agreeing to the Amendment,F,Huizenga of Michigan Part C Amendment No. 1,2019,116,1
2019:566,566,18-Oct,H.R.3624,On Agreeing to the Amendment,F,Hill of Arkansas Part C Amendment No. 2,2019,116,1
2019:567,567,18-Oct,H.R.3624,On Passage,P,Outsourcing Accountability Act of 2019,2019,116,1
2019:568,568,21-Oct,H.RES.647,On Motion to Table,P,Raising a question of the privileges of the House,2019,116,1
2019:569,569,21-Oct,H.R.4406,"On Motion to Suspend the Rules and Pass, as Amended",P,Small Business Development Centers Improvement Act,2019,116,1
2019:570,570,21-Oct,H.R.4407,On Motion to Suspend the Rules and Pass,P,SCORE for Small Business Act,2019,116,1
2019:571,571,22-Oct,H.RES.646,On Ordering the Previous Question,P,Providing for consideration of the bill (H.R. 2513) Corporate Transparency Act,2019,116,1
2019:572,572,22-Oct,H.RES.646,On Agreeing to the Resolution,P,Providing for consideration of the bill (H.R. 2513) Corporate Transparency Act,2019,116,1
2019:573,573,22-Oct,H.R.2513,On Agreeing to the Amendment,A,Burgess of Texas Part B Amendment No. 1,2019,116,1
2019:574,574,22-Oct,H.R.2513,On Agreeing to the Amendment,A,Carolyn B. Maloney of New York Part B Amendment No. 4,2019,116,1
2019:575,575,22-Oct,H.R.2513,On Agreeing to the Amendment,F,Davidson of Ohio Part B Amendment No. 5,2019,116,1
2019:576,576,22-Oct,H.R.2513,On Motion to Recommit with Instructions,F,Corporate Transparency Act,2019,116,1
2019:577,577,22-Oct,H.R.2513,On Passage,P,Corporate Transparency Act,2019,116,1
2019:578,578,22-Oct,H.R.2426,"On Motion to Suspend the Rules and Pass, as Amended",P,Copyright Alternative in Small-Claims Enforcement Act of 2019,2019,116,1
2019:579,579,23-Oct,H.RES.650,On Ordering the Previous Question,P,"Providing for consideration of H.R. 4617, the Stopping Harmful Interference in Elections for a Lasting Democracy Act",2019,116,1
2019:580,580,23-Oct,H.RES.650,On Agreeing to the Resolution,P,"Providing for consideration of H.R. 4617, the Stopping Harmful Interference in Elections for a Lasting Democracy Act",2019,116,1
2019:581,581,23-Oct,H.R.4617,On Agreeing to the Amendment,F,Lesko of Arizona Part B Amendment No. 2,2019,116,1
2019:582,582,23-Oct,H.R.4617,On Motion to Recommit with Instructions,F,SHIELD Act,2019,116,1
2019:583,583,23-Oct,H.R.4617,On Passage,P,SHIELD Act,2019,116,1
2019:584,584,23-Oct,H.R.777,"On Motion to Suspend the Rules and Pass, as Amended",P,Debbie Smith Reauthorization Act of 2019,2019,116,1
2019:585,585,28-Oct,H.R.2440,"On Motion to Suspend the Rules and Pass, as Amended",P,Full Utilization of the Harbor Maintenance Trust Fund Act,2019,116,1
2019:586,586,28-Oct,H.R.2115,"On Motion to Suspend the Rules and Pass, as Amended",P,Public Disclosure of Drug Discounts and Real-Time Beneficiary Drug Cost Act,2019,116,1
2019:587,587,29-Oct,H.RES.655,On Ordering the Previous Question,P,"Providing for consideration of H. Res. 296, affirming the United States record on the Armenian Genocide",2019,116,1
2019:588,588,29-Oct,H.RES.655,On Agreeing to the Resolution,P,"Providing for consideration of H. Res. 296, affirming the United States record on the Armenian Genocide",2019,116,1
2019:589,589,29-Oct,H.RES.656,On Ordering the Previous Question,P,"Providing for consideration of H.R. 823, the Colorado Outdoor Recreation and Economy Act; H.R. 1373, the Grand Canyon Centennial Protection Act; H.R. 2181, the Chaco Cultural Heritage Area Protection Act of 2019; providing for proceedings during the period from November 1, 2019 through November 11, 2019",2019,116,1
2019:590,590,29-Oct,H.RES.656,On Agreeing to the Resolution,P,"Providing for consideration of H.R. 823, the Colorado Outdoor Recreation and Economy Act; H.R. 1373, the Grand Canyon Centennial Protection Act; H.R. 2181, the Chaco Cultural Heritage Area Protection Act of 2019; providing for proceedings during the period from November 1, 2019 through November 11, 2019",2019,116,1
2019:591,591,29-Oct,H.RES.296,On Agreeing to the Resolution,P,Affirming the United States record on the Armenian Genocide,2019,116,1
2019:592,592,29-Oct,H.R.4695,"On Motion to Suspend the Rules and Pass, as Amended",P,Protect Against Conflict by Turkey Act,2019,116,1
2019:593,593,30-Oct,H.R.2181,On Agreeing to the Amendment,F,Gosar of Arizona Part E Amendment No. 2,2019,116,1
2019:594,594,30-Oct,H.R.2181,On Agreeing to the Amendment,F,Gosar of Arizona Part E Amendment No. 3,2019,116,1
2019:595,595,30-Oct,H.R.2181,On Agreeing to the Amendment,F,Arrington of Texas Part E Amendment No. 4,2019,116,1
2019:596,596,30-Oct,H.R.2181,On Motion to Recommit with Instructions,F,Chaco Cultural Heritage Area Protection Act,2019,116,1
2019:597,597,30-Oct,H.R.2181,On Passage,P,Chaco Cultural Heritage Area Protection Act,2019,116,1
2019:598,598,30-Oct,H.R.1373,On Agreeing to the Amendment,F,Gosar of Arizona Part C Amendment No. 1,2019,116,1
2019:599,599,30-Oct,H.R.1373,On Agreeing to the Amendment,F,Gosar of Arizona Part C Amendment No. 2,2019,116,1
2019:600,600,30-Oct,H.R.1373,On Agreeing to the Amendment,F,Gosar of Arizona Part C Amendment No. 3,2019,116,1
2019:601,601,30-Oct,H.R.1373,On Motion to Recommit with Instructions,F,Grand Canyon Centennial Protection Act,2019,116,1
2019:602,602,30-Oct,H.R.1373,On Passage,P,Grand Canyon Centennial Protection Act,2019,116,1
2019:603,603,31-Oct,H.RES.660,On Ordering the Previous Question,P,"Directing certain committees to continue their ongoing investigations as part of the existing House of Representatives inquiry into whether sufficient grounds exist for the House of Representatives to exercise its Constitutional power to impeach Donald John Trump, President of the United States of America",2019,116,1
2019:604,604,31-Oct,H.RES.660,On Agreeing to the Resolution,P,"Directing certain committees to continue their ongoing investigations as part of the existing House of Representatives inquiry into whether sufficient grounds exist for the House of Representatives to exercise its Constitutional power to impeach Donald John Trump, President of the United States of America",2019,116,1
2019:605,605,31-Oct,H.R.823,On Agreeing to the Amendment,F,Curtis of Utah Part B Amendment No. 1,2019,116,1
2019:606,606,31-Oct,H.R.823,On Agreeing to the Amendment,F,Tipton of Colorado Part B Amendment No. 5,2019,116,1
2019:607,607,31-Oct,H.R.823,On Agreeing to the Amendment,A,Crow of Colorado Part B Amendment No. 6,2019,116,1
2019:608,608,31-Oct,H.R.823,On Motion to Recommit with Instructions,F,Colorado Outdoor Recreation and Economy Act,2019,116,1
2019:609,609,31-Oct,H.R.823,On Passage,P,Colorado Outdoor Recreation and Economy Act,2019,116,1
2019:610,610,12-Nov,H.R.4162,"On Motion to Suspend the Rules and Pass, as Amended",P,GI Bill Planning Act,2019,116,1
2019:611,611,12-Nov,H.R.3224,"On Motion to Suspend the Rules and Pass, as Amended",P,Deborah Sampson Act,2019,116,1
2019:612,612,13-Nov,H.R.3537,On Motion to Suspend the Rules and Pass,P,Veteran Entrepreneurship Training Act,2019,116,1
2019:613,613,13-Nov,H.R.499,On Motion to Suspend the Rules and Pass,P,Service-Disabled Veterans Small Business Continuation Act,2019,116,1
2019:614,614,13-Nov,H.R.3734,"On Motion to Suspend the Rules and Pass, as Amended",P,SERV Act,2019,116,1
2019:615,615,14-Nov,H.RES.695,On Ordering the Previous Question,P,"Providing for consideration of H.R. 4863, the United States Export Finance Agency Act of 2019; and for other purposes",2019,116,1
2019:616,616,14-Nov,H.RES.695,On Agreeing to the Resolution,P,"Providing for consideration of H.R. 4863, the United States Export Finance Agency Act of 2019; and for other purposes",2019,116,1
2019:617,617,15-Nov,H.R.4863,On Agreeing to the Amendment,A,Torres of California Amendment No. 2,2019,116,1
2019:618,618,15-Nov,H.R.4863,On Agreeing to the Amendment,F,Flores of Texas Amendment No. 3,2019,116,1
2019:619,619,15-Nov,H.R.4863,On Agreeing to the Amendment,A,McAdams of Utah Amendment No. 4,2019,116,1
2019:620,620,15-Nov,H.R.4863,On Agreeing to the Amendment,F,Davidson of Ohio Amendment No. 5,2019,116,1
2019:621,621,15-Nov,H.R.4863,On Agreeing to the Amendment,A,Stevens of Michigan Amendment No. 18,2019,116,1
2019:622,622,15-Nov,H.R.4863,On Agreeing to the Amendment,A,Torres Small of New Mexico Amendment No. 21,2019,116,1
2019:623,623,15-Nov,H.R.4863,On Motion to Recommit with Instructions,F,United States Export Finance Agency Act,2019,116,1
2019:624,624,15-Nov,H.R.4863,On Passage,P,United States Export Finance Agency Act,2019,116,1
2019:625,625,18-Nov,H.R.3702,"On Motion to Suspend the Rules and Pass, as Amended",P,Reforming Disaster Recovery Act,2019,116,1
2019:626,626,18-Nov,H.R.4634,"On Motion to Suspend the Rules and Pass, as Amended",P,Terrorism Risk Insurance Program Reauthorization Act,2019,116,1
2019:627,627,18-Nov,H.R.4344,"On Motion to Suspend the Rules and Pass, as Amended",P,Investor Protection and Capital Markets Fairness Act,2019,116,1
2019:628,628,19-Nov,H.RES.708,On Ordering the Previous Question,P,"Providing for consideration of the Senate amendment to the bill (H.R. 3055) making appropriations for the Departments of Commerce and Justice, Science, and Related Agencies for the fiscal year ending September 30, 2020, and for other purposes",2019,116,1
2019:629,629,19-Nov,H.RES.708,On Agreeing to the Resolution,P,"Providing for consideration of the Senate amendment to the bill (H.R. 3055) making appropriations for the Departments of Commerce and Justice, Science, and Related Agencies for the fiscal year ending September 30, 2020, and for other purposes",2019,116,1
2019:630,630,19-Nov,H.R.5084,On Motion to Suspend the Rules and Pass,P,Improving Corporate Governance Through Diversity Act,2019,116,1
2019:631,631,19-Nov,H.R.3055,On Motion to Concur in the Senate Amendment with an Amendment,P,"Making appropriations for the Departments of Commerce and Justice, Science, and Related Agencies for the fiscal year ending September 30, 2020, and for other purposes",2019,116,1
2019:632,632,20-Nov,H.RES.713,On Ordering the Previous Question,P,"Providing for consideration of H.R. 1309, the Workplace Violence Prevention for Health Care and Social Service Workers Act; providing for proceedings during the period from November 22, 2019 through December 2, 2019; and providing for consideration of motions to suspend the rules",2019,116,1
2019:633,633,20-Nov,H.RES.713,On Agreeing to the Resolution,P,"Providing for consideration of H.R. 1309, the Workplace Violence Prevention for Health Care and Social Service Workers Act; providing for proceedings during the period from November 22, 2019 through December 2, 2019; and providing for consideration of motions to suspend the rules",2019,116,1
2019:634,634,20-Nov,H.R.737,"On Motion to Suspend the Rules and Pass, as Amended",P,Shark Fin Sales Elimination Act,2019,116,1
2019:635,635,20-Nov,S.1838,On Motion to Suspend the Rules and Pass,P,Hong Kong Human Rights and Democracy Act,2019,116,1
2019:636,636,20-Nov,S.2710,On Motion to Suspend the Rules and Pass,P,To prohibit the commercial export of covered munitions items to the Hong Kong Police Force,2019,116,1
2019:637,637,21-Nov,H.R.1309,On Agreeing to the Amendment,F,Byrne of Alabama Part B Amendment No. 3,2019,116,1
2019:638,638,21-Nov,H.R.1309,On Agreeing to the Amendment,A,Harder of California Part B Amendment No. 4,2019,116,1
2019:639,639,21-Nov,H.R.1309,On Agreeing to the Amendment,A,Wexton of Virginia Part B Amendment No. 9,2019,116,1
2019:640,640,21-Nov,H.R.1309,On Agreeing to the Amendment,A,Delgado of New York Part B Amendment No. 10,2019,116,1
2019:641,641,21-Nov,H.R.1309,Table Appeal of the Ruling of the Chair,P,Workplace Violence Prevention for Heath Care and Social Service Workers Act,2019,116,1
2019:642,642,21-Nov,H.R.1309,On Passage,P,Workplace Violence Prevention for Heath Care and Social Service Workers Act,2019,116,1
